,id,name,host_id,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,calculated_host_listings_count,availability_365
6350,18843468,sunny rondebosch home with private pool,41624824,wendy,ward 59,-33.9721,18.47313,entire home/apt,2850.0,5.0,1,1,267
6351,18844075,sea point studio near beach,257734440,helle,ward 54,-33.91088,18.39519,entire home/apt,806.0,2.0,149,61,330
6352,18845664,"private, modern and secure self-catering cottage",47164758,lauren,ward 71,-34.06089,18.45119,entire home/apt,551.0,3.0,14,2,265
6353,18849727,quaint victorian cottage +2 cats in cape town cbd,76586763,storm,ward 77,-33.93673,18.41901,entire home/apt,1246.0,5.0,3,1,181
6354,18851057,a spacious 2 bedroom city/mountain view apartment,50749759,shiba melissa,ward 115,-33.92214,18.42185,entire home/apt,1200.0,1.0,14,1,363
6355,18854062,"a tranquil house, double bed, close to beach",131340534,daniela,ward 107,-33.80726,18.50288,private room,550.0,2.0,1,1,88
6356,18856670,atlantic sunset house - 4 persons,131339701,tienie and rinda,ward 23,-33.71015,18.44542,private room,2950.0,10.0,0,4,205
6357,18860356,cape town - eclectic woodstock cottage,28917565,dolli & volker,ward 115,-33.92962,18.45491,entire home/apt,975.0,2.0,23,1,219
6358,18860440,bakoven bungalow on the beach,13212606,jacey,ward 54,-33.96144,18.37291,entire home/apt,7000.0,4.0,2,2,362
6359,18861020,unit e - 80 kendal,34174006,peter,ward 21,-33.86323,18.65465,entire home/apt,1350.0,1.0,0,11,365
6360,18861786,unit a - 80 kendal,34174006,peter,ward 21,-33.8633,18.65399,entire home/apt,1550.0,1.0,0,11,365
6361,18862053,unit d - 80 kendall,34174006,peter,ward 21,-33.86419,18.65463,entire home/apt,1350.0,1.0,0,11,365
6362,18862341,unit f - 80 kendall,34174006,peter,ward 21,-33.86321,18.65371,entire home/apt,1350.0,1.0,0,11,0
6363,18862639,unit b - 80 kendall,34174006,peter,ward 21,-33.86419,18.65283,entire home/apt,1350.0,1.0,0,11,365
6364,18862832,unit 1 - durbanmist,34174006,peter,ward 105,-33.81494,18.66223,entire home/apt,1200.0,1.0,0,11,365
6365,18862838,de akker,57350318,estee,ward 2,-33.89664,18.62793,private room,850.0,2.0,0,1,363
6366,18862994,15 hilltop road,118647949,helene,ward 61,-34.20035,18.38147,entire home/apt,4500.0,7.0,2,1,0
